Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention
Dominican Republic,2009,88th,77.7,5.8,6.8,6.0,5.6,8.0,8.5,5.8,6.7,6.7,6.7,5.3,5.8
Ecuador,2009,69th,81.2,6.8,7.8,6.3,6.4,8.0,7.3,7.0,6.8,6.0,6.5,6.3,6.0
Egypt,2009,43rd,89.0,6.2,8.1,8.0,7.0,7.6,6.2,8.6,6.4,8.4,7.6,6.9,8.0
El Salvador,2009,90th,77.2,6.4,4.5,6.2,6.3,7.8,6.9,7.0,6.6,6.9,7.6,5.7,5.3
Equatorial Guinea,2009,47th,88.3,8.6,8.6,6.8,4.4,9.0,7.4,9.4,8.6,9.2,8.3,2.0,6.0
Eritrea,2009,36th,90.3,7.4,7.7,5.8,8.6,6.0,6.5,8.6,8.6,7.9,8.6,7.0,7.6
Estonia,2009,140th,51.2,2.5,5.5,4.9,4.4,5.4,4.0,4.7,3.5,3.5,4.7,4.4,3.7
Ethiopia,2009,16th,98.9,7.5,8.8,8.2,8.3,8.8,7.7,7.9,8.2,8.5,9.4,8.0,7.6
Fiji,2009,81st,78.8,6.7,8.2,7.3,6.3,7.7,6.5,8.6,5.0,6.1,6.1,4.3,6.0
Finland,2009,176th,19.2,0.9,0.9,1.2,2.4,1.9,2.1,0.9,1.1,1.7,2.5,1.6,2.0
France,2009,158th,35.3,1.2,2.0,5.8,3.3,5.5,2.0,1.8,1.5,2.9,3.9,3.0,2.4
Gabon,2009,99th,74.4,5.9,7.2,3.0,5.5,7.8,6.0,7.3,6.8,6.3,7.2,5.7,5.7
Gambia,2009,80th,79.0,6.0,6.2,4.4,7.4,7.0,6.4,7.8,7.1,6.9,7.2,5.7,6.9
Georgia,2009,33rd,91.8,7.9,8.9,8.5,6.0,7.5,6.0,9.0,6.3,7.5,6.4,8.3,9.5
Germany,2009,157th,36.2,2.1,1.8,4.9,3.2,4.9,2.8,2.3,1.9,2.5,3.5,3.9,2.4
Ghana,2009,124th,66.2,2.4,4.2,5.4,5.5,6.6,8.1,5.3,7.2,4.7,7.0,5.1,4.7
Greece,2009,147th,46.1,3.5,2.0,4.4,4.0,4.8,4.7,4.5,3.9,3.6,4.5,2.7,3.5
Grenada,2009,119th,67.9,5.5,5.8,4.5,5.9,6.9,7.8,6.3,4.1,4.7,5.9,2.9,7.6
Guatemala,2009,73rd,80.6,7.1,6.3,6.7,6.6,8.2,6.7,7.1,6.6,7.0,7.0,5.8,5.5
Guinea,2009,9th,104.6,9.4,9.2,8.2,8.7,8.9,8.6,9.8,9.2,9.0,8.5,7.1,8.0
Guinea Bissau,2009,27th,94.8,8.5,8.0,5.8,8.5,8.5,7.0,8.6,8.7,8.0,8.6,6.5,8.1
Guyana,2009,104th,73.0,6.8,5.1,6.1,6.6,7.9,7.9,6.7,5.5,5.4,6.3,3.5,5.2
Haiti,2009,12th,101.8,8.4,8.3,7.3,8.9,8.2,8.6,9.2,9.5,8.5,9.3,5.8,9.8
Honduras,2009,90th,77.2,6.0,6.1,5.0,7.2,8.5,6.3,7.0,7.1,6.3,7.8,4.0,5.9
Hungary,2009,141st,50.7,2.1,5.0,3.4,5.0,6.1,5.0,5.5,3.8,3.5,3.5,3.0,4.8
Iceland,2009,165th,29.0,1.0,2.0,1.0,6.7,2.5,3.2,2.2,1.4,2.1,1.0,0.9,5.0
India,2009,87th,77.8,7.1,6.0,7.3,5.0,8.9,6.7,5.5,7.0,6.0,8.3,4.9,5.1
Indonesia,2009,61st,84.1,7.3,7.3,6.3,6.9,8.1,7.2,6.7,6.7,6.7,7.3,6.7,6.9
Iran,2009,38th,90.0,8.6,9.1,7.6,5.5,7.4,6.8,8.3,6.0,8.9,6.5,8.5,6.8
Iraq,2009,6th,108.6,9.7,9.6,9.7,7.6,8.6,9.1,9.0,8.4,9.3,8.7,8.9,10.0
Ireland,2009,173rd,21.6,1.1,1.3,1.0,2.7,3.0,2.0,1.8,2.3,1.5,1.9,1.5,1.5
Israel,2009,56th,84.6,6.0,8.0,9.3,4.1,7.5,4.0,7.5,7.0,8.0,7.2,8.0,8.0
Italy,2009,150th,43.9,4.0,3.7,4.5,4.4,4.7,3.0,4.3,2.8,2.6,3.8,3.7,2.4
Jamaica,2009,117th,68.6,6.0,4.0,4.5,6.6,6.7,6.3,7.0,6.4,5.7,6.4,2.7,6.3
